"route","day","tonnes"
"601 Route 1A (NEW)","2020-03-06",3.38
"602 Route 2A (NEW)","2020-03-08",1.9
"601 Route 1A (NEW)","2020-03-18",4.02
"609 Route 9A (NEW)","2020-01-04",2.94
"604 Route 4A (NEW)","2020-02-25",5.74
"604 Route 4A (NEW)","2020-02-29",3.74
"503 Route 3 (NEW)","2018-01-06",6.52
"505 Route 5 (NEW)","2018-01-08",13.98
"501 Route 1 (NEW)","2018-01-11",30.38
"501 Route 1 (NEW)","2018-01-12",13.18
"505 Route 5 (NEW)","2018-01-19",13.4
"505 Route 5 (NEW)","2018-01-20",7.58
"191 Rt 2","2018-01-22",3.7
"501 Route 1 (NEW)","2018-01-22",7.58
"189 Missed Bins","2018-01-23",14.36
"501 Route 1 (NEW)","2018-01-25",19.3
"505 Route 5 (NEW)","2018-02-02",16.94
"501 Route 1 (NEW)","2018-02-06",21.32
"506 Route 6 (NEW)","2018-02-07",4.48
"504 Route 4 (NEW )","2018-02-09",14.4
"503 Route 3 (NEW)","2018-02-11",8.32
"505 Route 5 (NEW)","2018-02-11",10.82
"189 Missed Bins","2018-02-19",7.92
"501 Route 1 (NEW)","2018-02-21",9.7
"189 Missed Bins","2018-02-22",9.78
"502 Route 2 (NEW)","2018-03-08",16.68
"506 Route 6 (NEW)","2018-03-08",3.66
"189 Missed Bins","2018-03-15",11.86
"503 Route 3 (NEW)","2018-03-18",12.36
"506 Route 6 (NEW)","2018-03-20",5.3
"502 Route 2 (NEW)","2018-03-22",21.22
"502 Route 2 (NEW)","2018-03-23",22.7
"189 Missed Bins","2018-03-25",12.24
"189 Missed Bins","2018-01-15",11.92
"602 Route 2A (NEW)","2018-01-28",7.06
"603 Route 3A (NEW)","2018-01-28",5.96
"604 Route 4A (NEW)","2018-02-13",9.56
"601 Route 1A (NEW)","2018-02-15",7.76
"603 Route 3A (NEW)","2018-02-24",5.78
"602 Route 2A (NEW)","2018-02-25",6.26
"603 Route 3A (NEW)","2018-02-25",5.9
"604 Route 4A (NEW)","2018-03-12",10.04
"602 Route 2A (NEW)","2018-03-26",8.34
"604 Route 4A (NEW)","2018-01-05",2.5
"603 Route 3A (NEW)","2018-01-10",1.82
"602 Route 2A (NEW)","2018-01-23",1.88
"606 Route 6A  (NEW)","2018-02-03",3.86
"604 Route 4A (NEW)","2018-02-08",6.48
"601 Route 1A (NEW)","2018-02-09",0.58
"604 Route 4A (NEW)","2018-02-17",1.54
"602 Route 2A (NEW)","2018-02-20",1.68
"606 Route 6A  (NEW)","2018-02-20",0.7
"602 Route 2A (NEW)","2018-03-06",1.28
"601 Route 1A (NEW)","2018-03-07",2.22
"605 Route 5A (NEW)","2018-03-16",0.6
"606 Route 6A  (NEW)","2018-03-17",0.68
"606 Route 6A  (NEW)","2018-03-20",0.42
"602 Route 2A (NEW)","2018-03-22",3.04
"603 Route 3A (NEW)","2018-01-13",2.3
"603 Route 3A (NEW)","2018-01-29",6.72
"603 Route 3A (NEW)","2018-01-31",5.44
"606 Route 6A  (NEW)","2018-01-31",1.38
"601 Route 1A (NEW)","2018-02-01",5.44
"604 Route 4A (NEW)","2018-02-01",4.6
"605 Route 5A (NEW)","2018-02-09",3.32
"605 Route 5A (NEW)","2018-02-10",2.86
