"route","day","tonnes"
"501 Route 1 (NEW)","2020-03-21",16.38
"501 Route 1 (NEW)","2020-03-22",8.42
"608 Route 8A (NEW)","2019-12-16",2.3
"608 Route 8A (NEW)","2020-01-17",2.5
"605 Route 5A (NEW)","2020-03-11",3.24
"603 Route 3A (NEW)","2020-01-12",2.44
"605 Route 5A (NEW)","2020-02-09",1.6
"501 Route 1 (NEW)","2018-01-03",18.26
"189 Missed Bins","2018-01-05",23.72
"501 Route 1 (NEW)","2018-01-05",24.64
"191 Rt 2","2018-01-10",10.98
"189 Missed Bins","2018-01-25",16.92
"504 Route 4 (NEW )","2018-01-25",19.78
"502 Route 2 (NEW)","2018-01-28",20.06
"501 Route 1 (NEW)","2018-02-02",20.04
"504 Route 4 (NEW )","2018-02-05",7.08
"501 Route 1 (NEW)","2018-02-07",18.74
"502 Route 2 (NEW)","2018-02-07",6.92
"501 Route 1 (NEW)","2018-02-08",4.74
"504 Route 4 (NEW )","2018-02-18",10.36
"504 Route 4 (NEW )","2018-02-20",14.76
"502 Route 2 (NEW)","2018-02-21",19.06
"506 Route 6 (NEW)","2018-02-21",4.46
"501 Route 1 (NEW)","2018-03-07",18.6
"189 Missed Bins","2018-03-08",1.2
"501 Route 1 (NEW)","2018-03-16",37.96
"189 Missed Bins","2018-03-17",29.6
"504 Route 4 (NEW )","2018-03-18",24.98
"505 Route 5 (NEW)","2018-03-18",5.24
"505 Route 5 (NEW)","2018-03-20",9.14
"501 Route 1 (NEW)","2018-03-22",45.34
"506 Route 6 (NEW)","2018-03-22",6.56
"189 Missed Bins","2018-03-23",7.14
"504 Route 4 (NEW )","2018-03-23",18.92
"603 Route 3A (NEW)","2018-01-15",7.08
"189 Missed Bins","2018-01-16",7.2
"603 Route 3A (NEW)","2018-01-17",4.22
"603 Route 3A (NEW)","2018-01-18",10.22
"605 Route 5A (NEW)","2018-01-27",6.24
"603 Route 3A (NEW)","2018-02-15",7.34
"602 Route 2A (NEW)","2018-02-23",7.7
"604 Route 4A (NEW)","2018-02-23",8.24
"606 Route 6A  (NEW)","2018-02-27",2.88
"604 Route 4A (NEW)","2018-03-14",11.82
"601 Route 1A (NEW)","2018-03-15",9.12
"604 Route 4A (NEW)","2018-03-26",9.92
"603 Route 3A (NEW)","2018-03-27",12.78
"602 Route 2A (NEW)","2018-01-03",18.58
"601 Route 1A (NEW)","2018-01-08",5.38
"602 Route 2A (NEW)","2018-01-08",2.5
"604 Route 4A (NEW)","2018-01-08",2.28
"604 Route 4A (NEW)","2018-02-05",2.42
"606 Route 6A  (NEW)","2018-02-05",0.88
"606 Route 6A  (NEW)","2018-02-08",1.06
"605 Route 5A (NEW)","2018-02-16",3.36
"601 Route 1A (NEW)","2018-02-17",1.0
"607 Route 7A (NEW)","2018-02-17",0.56
"604 Route 4A (NEW)","2018-02-19",1.76
"606 Route 6A  (NEW)","2018-02-19",0.36
"604 Route 4A (NEW)","2018-02-22",2.16
"606 Route 6A  (NEW)","2018-03-06",0.08
"602 Route 2A (NEW)","2018-03-16",4.92
"601 Route 1A (NEW)","2018-03-17",0.88
"601 Route 1A (NEW)","2018-03-18",2.26
"602 Route 2A (NEW)","2018-03-18",3.6
"601 Route 1A (NEW)","2018-03-22",2.7
"603 Route 3A (NEW)","2018-03-22",2.06
"603 Route 3A (NEW)","2018-01-04",15.08
"601 Route 1A (NEW)","2018-01-13",4.8
"602 Route 2A (NEW)","2018-01-29",7.56
"606 Route 6A  (NEW)","2018-02-11",0.82
"604 Route 4A (NEW)","2018-02-27",7.04
"601 Route 1A (NEW)","2018-03-11",6.28
"503 Route 3 (NEW)","2018-01-04",21.2
"504 Route 4 (NEW )","2018-01-14",6.96
"504 Route 4 (NEW )","2018-01-18",4.32
"502 Route 2 (NEW)","2018-01-29",11.12
"506 Route 6 (NEW)","2018-01-29",1.72
"505 Route 5 (NEW)","2018-02-09",6.32
"507 Route 7 (NEW )","2018-02-10",1.1
"503 Route 3 (NEW)","2018-02-25",6.52
"503 Route 3 (NEW)","2018-02-26",9.5
"506 Route 6 (NEW)","2018-03-09",0.68
"505 Route 5 (NEW)","2018-03-11",3.34
"505 Route 5 (NEW)","2018-03-14",1.42
"506 Route 6 (NEW)","2018-03-25",2.46
"504 Route 4 (NEW )","2018-03-28",8.52
"189 Missed Bins","2018-03-29",0.8
"507 Route 7 (NEW )","2018-03-30",1.64
"501 Route 1 (NEW)","2018-03-31",8.74
"504 Route 4 (NEW )","2018-03-31",8.5
"502 Route 2 (NEW)","2018-04-05",17.82
"504 Route 4 (NEW )","2018-04-05",17.86
"501 Route 1 (NEW)","2018-04-06",12.72
"506 Route 6 (NEW)","2018-04-08",1.7
"502 Route 2 (NEW)","2018-04-19",12.88
"503 Route 3 (NEW)","2018-04-22",10.06
"189 Missed Bins","2018-04-24",33.04
"505 Route 5 (NEW)","2018-04-25",11.1
"501 Route 1 (NEW)","2018-04-30",15.46
"501 Route 1 (NEW)","2018-05-02",4.46
"502 Route 2 (NEW)","2018-05-05",12.4
"504 Route 4 (NEW )","2018-05-05",9.26
"501 Route 1 (NEW)","2018-05-06",8.52
"502 Route 2 (NEW)","2018-05-06",9.92
"506 Route 6 (NEW)","2018-05-11",2.72
"501 Route 1 (NEW)","2018-05-15",27.52
"504 Route 4 (NEW )","2018-05-15",15.1
"505 Route 5 (NEW)","2018-05-15",10.46
"506 Route 6 (NEW)","2018-05-16",15.58
"505 Route 5 (NEW)","2018-05-18",20.06
"189 Missed Bins","2018-05-19",26.14
"501 Route 1 (NEW)","2018-05-19",9.28
"195 Rt 6","2018-05-28",0.8
"502 Route 2 (NEW)","2018-05-29",15.5
"503 Route 3 (NEW)","2018-05-31",16.74
"504 Route 4 (NEW )","2018-05-31",25.64
"504 Route 4 (NEW )","2018-06-02",10.72
"189 Missed Bins","2018-06-10",8.38
"602 Route 2A (NEW)","2018-04-09",11.74
"602 Route 2A (NEW)","2018-04-12",8.88
"601 Route 1A (NEW)","2018-05-07",8.42
"602 Route 2A (NEW)","2018-05-07",7.96
"606 Route 6A  (NEW)","2018-05-08",5.3
"603 Route 3A (NEW)","2018-05-10",8.9
"606 Route 6A  (NEW)","2018-06-04",1.0
"601 Route 1A (NEW)","2018-06-09",3.92
"607 Route 7A (NEW)","2018-06-09",1.0
"601 Route 1A (NEW)","2018-06-10",6.0
"602 Route 2A (NEW)","2018-06-10",7.88
"606 Route 6A  (NEW)","2018-06-10",1.3
"604 Route 4A (NEW)","2018-03-31",0.94
"601 Route 1A (NEW)","2018-04-01",2.46
"602 Route 2A (NEW)","2018-04-01",1.52
"606 Route 6A  (NEW)","2018-04-06",0.44
"605 Route 5A (NEW)","2018-04-07",2.76
"602 Route 2A (NEW)","2018-04-08",4.54
"603 Route 3A (NEW)","2018-04-08",3.94
"603 Route 3A (NEW)","2018-04-17",3.84
"602 Route 2A (NEW)","2018-04-19",4.0
"191 Rt 2","2018-05-02",0.82
"603 Route 3A (NEW)","2018-05-05",3.6
"601 Route 1A (NEW)","2018-05-14",2.4
"602 Route 2A (NEW)","2018-05-21",1.64
"606 Route 6A  (NEW)","2018-05-31",1.3
"604 Route 4A (NEW)","2018-04-28",3.66
"601 Route 1A (NEW)","2018-04-29",4.54
"606 Route 6A  (NEW)","2018-04-29",1.76
"503 Route 3 (NEW)","2018-04-11",11.72
"501 Route 1 (NEW)","2018-05-26",16.7
"503 Route 3 (NEW)","2018-06-08",17.44
"507 Route 7 (NEW )","2018-06-08",3.74
"501 Route 1 (NEW)","2018-06-10",9.4
"189 Missed Bins","2018-06-15",8.1
"501 Route 1 (NEW)","2018-06-25",18.0
"504 Route 4 (NEW )","2018-06-29",14.6
"503 Route 3 (NEW)","2018-07-14",7.98
"189 Missed Bins","2018-07-17",9.7
"502 Route 2 (NEW)","2018-07-25",20.6
"504 Route 4 (NEW )","2018-07-27",10.48
"501 Route 1 (NEW)","2018-08-08",18.28
"503 Route 3 (NEW)","2018-08-10",29.56
"506 Route 6 (NEW)","2018-08-10",4.7
"503 Route 3 (NEW)","2018-08-11",8.42
"505 Route 5 (NEW)","2018-08-12",8.44
"503 Route 3 (NEW)","2018-08-26",8.88
"606 Route 6A  (NEW)","2018-08-04",1.08
"607 Route 7A (NEW)","2018-08-04",1.78
"603 Route 3A (NEW)","2018-08-05",4.48
"604 Route 4A (NEW)","2018-06-29",3.24
"601 Route 1A (NEW)","2018-07-12",5.4
"601 Route 1A (NEW)","2018-07-29",1.08
"602 Route 2A (NEW)","2018-07-17",6.42
"607 Route 7A (NEW)","2018-07-20",0.96
"605 Route 5A (NEW)","2018-08-19",1.0
"506 Route 6 (NEW)","2018-06-19",10.6
"189 Missed Bins","2018-06-23",12.02
"505 Route 5 (NEW)","2019-01-03",7.4
"502 Route 2 (NEW)","2019-01-10",24.34
"503 Route 3 (NEW)","2019-01-13",9.28
"502 Route 2 (NEW)","2019-01-22",13.72
"604 Route 4A (NEW)","2018-12-22",4.72
"602 Route 2A (NEW)","2018-12-12",2.34
"602 Route 2A (NEW)","2019-01-08",3.84
"608 Route 8A (NEW)","2018-12-04",3.6
"602 Route 2A (NEW)","2019-02-01",3.82
"603 Route 3A (NEW)","2019-02-01",4.76
"503 Route 3 (NEW)","2018-12-08",5.4
"502 Route 2 (NEW)","2019-01-15",8.98
"501 Route 1 (NEW)","2019-01-20",3.52
"502 Route 2 (NEW)","2019-02-07",24.32
"189 Missed Bins","2019-02-11",3.88
"505 Route 5 (NEW)","2019-02-18",16.98
"501 Route 1 (NEW)","2019-02-21",14.6
"501 Route 1 (NEW)","2019-03-07",19.36
"508 Route 8 (NEW)","2019-03-14",4.16
"602 Route 2A (NEW)","2019-03-14",7.32
"189 Missed Bins","2019-03-22",0.12
"604 Route 4A (NEW)","2019-03-22",3.84
"603 Route 3A (NEW)","2019-03-06",1.82
"601 Route 1A (NEW)","2019-03-09",1.14
"605 Route 5A (NEW)","2019-03-13",0.26
"603 Route 3A (NEW)","2019-03-20",1.96
"608 Route 8A (NEW)","2019-03-21",0.96
"608 Route 8A (NEW)","2019-04-01",0.7
"605 Route 5A (NEW)","2019-04-06",1.28
"602 Route 2A (NEW)","2019-04-07",1.2
"602 Route 2A (NEW)","2019-04-18",3.62
"605 Route 5A (NEW)","2019-04-21",1.26
"601 Route 1A (NEW)","2019-03-30",2.1
"502 Route 2 (NEW)","2019-02-16",6.34
"502 Route 2 (NEW)","2019-03-15",3.98
"501 Route 1 (NEW)","2019-03-17",4.48
"504 Route 4 (NEW )","2019-03-17",8.08
"501 Route 1 (NEW)","2019-03-31",5.94
"503 Route 3 (NEW)","2019-04-30",24.38
"503 Route 3 (NEW)","2019-05-19",8.64
"503 Route 3 (NEW)","2019-06-10",12.58
"604 Route 4A (NEW)","2019-06-03",14.16
"605 Route 5A (NEW)","2019-05-14",1.7
"609 Route 9A (NEW)","2019-05-18",0.52
"608 Route 8A (NEW)","2019-05-29",0.66
"603 Route 3A (NEW)","2019-06-24",2.2
"604 Route 4A (NEW)","2019-06-30",1.58
"605 Route 5A (NEW)","2019-06-30",1.38
"608 Route 8A (NEW)","2019-04-23",2.48
"508 Route 8 (NEW)","2019-04-23",6.5
"505 Route 5 (NEW)","2019-04-27",9.34
"503 Route 3 (NEW)","2019-05-26",19.34
"503 Route 3 (NEW)","2019-06-06",32.36
"503 Route 3 (NEW)","2019-06-18",14.08
"502 Route 2 (NEW)","2019-06-19",19.38
"503 Route 3 (NEW)","2019-06-21",13.34
"501 Route 1 (NEW)","2019-07-04",28.92
"502 Route 2 (NEW)","2019-07-25",21.94
"505 Route 5 (NEW)","2019-08-11",5.14
"501 Route 1 (NEW)","2019-08-23",16.72
"509 Route 9 (NEW)","2019-09-08",1.98
"602 Route 2A (NEW)","2019-08-01",7.8
"602 Route 2A (NEW)","2019-08-30",6.98
"608 Route 8A (NEW)","2019-07-10",0.86
"603 Route 3A (NEW)","2019-07-13",1.36
"603 Route 3A (NEW)","2019-07-22",2.08
"602 Route 2A (NEW)","2019-07-24",2.72
"603 Route 3A (NEW)","2019-08-08",2.1
"602 Route 2A (NEW)","2019-09-16",2.18
"603 Route 3A (NEW)","2019-08-14",5.64
"601 Route 1A (NEW)","2019-09-09",6.78
"504 Route 4 (NEW )","2019-08-17",12.0
"502 Route 2 (NEW)","2019-08-18",30.24
"502 Route 2 (NEW)","2019-08-29",19.48
"505 Route 5 (NEW)","2019-09-10",10.36
"502 Route 2 (NEW)","2019-09-11",23.0
"505 Route 5 (NEW)","2019-09-14",12.12
"505 Route 5 (NEW)","2019-09-15",11.5
"504 Route 4 (NEW )","2019-10-04",11.1
"502 Route 2 (NEW)","2019-10-06",9.96
"504 Route 4 (NEW )","2019-11-17",15.22
"189 Missed Bins","2019-11-26",1.16
"504 Route 4 (NEW )","2019-11-29",10.8
"504 Route 4 (NEW )","2019-12-13",10.06
"601 Route 1A (NEW)","2019-09-25",6.72
"608 Route 8A (NEW)","2019-10-21",3.46
"604 Route 4A (NEW)","2019-10-17",2.28
"603 Route 3A (NEW)","2019-11-16",1.0
"602 Route 2A (NEW)","2019-11-29",2.06
"603 Route 3A (NEW)","2019-11-29",2.7
"602 Route 2A (NEW)","2019-11-08",4.74
"604 Route 4A (NEW)","2019-11-10",4.3
"608 Route 8A (NEW)","2019-12-07",1.58
"501 Route 1 (NEW)","2019-09-29",9.12
"501 Route 1 (NEW)","2019-10-26",5.92
"503 Route 3 (NEW)","2019-11-05",6.86
"503 Route 3 (NEW)","2019-11-06",14.8
"501 Route 1 (NEW)","2019-12-23",12.72
"502 Route 2 (NEW)","2020-01-20",9.92
"504 Route 4 (NEW )","2020-01-26",10.44
"501 Route 1 (NEW)","2020-02-03",14.0
"505 Route 5 (NEW)","2020-03-02",10.58
"508 Route 8 (NEW)","2020-03-05",8.32
"503 Route 3 (NEW)","2020-03-19",21.3
"602 Route 2A (NEW)","2019-12-21",6.8
"603 Route 3A (NEW)","2019-12-21",5.3
"608 Route 8A (NEW)","2020-01-16",2.82
"603 Route 3A (NEW)","2020-03-09",6.92
"602 Route 2A (NEW)","2020-03-11",8.52
"601 Route 1A (NEW)","2020-03-12",9.68
"605 Route 5A (NEW)","2020-01-08",0.58
"602 Route 2A (NEW)","2020-01-10",5.1
"601 Route 1A (NEW)","2020-01-21",3.64
"605 Route 5A (NEW)","2020-01-24",2.38
"602 Route 2A (NEW)","2020-01-25",1.98
"602 Route 2A (NEW)","2020-02-03",2.22
"603 Route 3A (NEW)","2020-02-06",2.18
"609 Route 9A (NEW)","2020-02-07",0.5
"604 Route 4A (NEW)","2020-03-07",1.38
"601 Route 1A (NEW)","2020-03-08",1.36
"602 Route 2A (NEW)","2020-03-18",2.5
"604 Route 4A (NEW)","2020-01-29",12.52
"603 Route 3A (NEW)","2020-02-24",5.7
"505 Route 5 (NEW)","2018-01-05",18.72
"191 Rt 2","2018-01-19",0.44
"503 Route 3 (NEW)","2018-01-20",6.32
"501 Route 1 (NEW)","2018-01-27",6.54
"189 Missed Bins","2018-01-28",32.14
"189 Missed Bins","2018-01-30",5.8
"502 Route 2 (NEW)","2018-01-31",18.5
"502 Route 2 (NEW)","2018-02-04",9.3
"506 Route 6 (NEW)","2018-02-04",2.74
"189 Missed Bins","2018-02-07",6.82
"502 Route 2 (NEW)","2018-02-10",21.12
"506 Route 6 (NEW)","2018-02-13",3.08
"506 Route 6 (NEW)","2018-02-16",5.88
"501 Route 1 (NEW)","2018-02-17",7.42
"505 Route 5 (NEW)","2018-02-18",9.18
"501 Route 1 (NEW)","2018-02-23",4.64
"502 Route 2 (NEW)","2018-02-23",22.76
"189 Missed Bins","2018-02-24",0.04
"191 Rt 2","2018-03-07",5.68
"502 Route 2 (NEW)","2018-03-07",17.72
"504 Route 4 (NEW )","2018-03-07",15.64
"501 Route 1 (NEW)","2018-03-18",9.02
"505 Route 5 (NEW)","2018-03-19",14.7
"502 Route 2 (NEW)","2018-03-20",3.18
"189 Missed Bins","2018-03-21",20.82
"189 Missed Bins","2018-03-26",11.92
"604 Route 4A (NEW)","2018-01-18",18.94
"604 Route 4A (NEW)","2018-01-28",5.66
"601 Route 1A (NEW)","2018-02-13",8.8
"603 Route 3A (NEW)","2018-02-13",8.86
"602 Route 2A (NEW)","2018-02-24",7.04
"604 Route 4A (NEW)","2018-02-25",7.78
"189 Missed Bins","2018-02-27",29.24
"603 Route 3A (NEW)","2018-03-13",6.52
"605 Route 5A (NEW)","2018-01-05",3.92
"602 Route 2A (NEW)","2018-01-06",2.1
"605 Route 5A (NEW)","2018-01-06",1.26
"602 Route 2A (NEW)","2018-01-10",4.02
"189 Missed Bins","2018-01-20",1.34
"191 Rt 2","2018-01-25",2.04
"603 Route 3A (NEW)","2018-01-25",0.68
"603 Route 3A (NEW)","2018-02-02",5.76
"602 Route 2A (NEW)","2018-02-04",2.9
"601 Route 1A (NEW)","2018-02-06",3.8
"602 Route 2A (NEW)","2018-02-07",2.34
"191 Rt 2","2018-02-08",1.68
"601 Route 1A (NEW)","2018-02-08",3.7
"601 Route 1A (NEW)","2018-02-20",4.3
"604 Route 4A (NEW)","2018-02-20",2.24
"601 Route 1A (NEW)","2018-03-23",2.98
"602 Route 2A (NEW)","2018-01-13",6.66
"606 Route 6A  (NEW)","2018-01-29",3.76
"602 Route 2A (NEW)","2018-02-09",5.72
"604 Route 4A (NEW)","2018-03-09",3.62
"606 Route 6A  (NEW)","2018-03-10",1.16
"503 Route 3 (NEW)","2018-01-03",13.46
"502 Route 2 (NEW)","2018-01-15",13.78
"502 Route 2 (NEW)","2018-01-30",6.36
"505 Route 5 (NEW)","2018-02-12",3.5
"503 Route 3 (NEW)","2018-02-15",4.14
"503 Route 3 (NEW)","2018-03-09",1.6
"507 Route 7 (NEW )","2018-03-10",0.22
"506 Route 6 (NEW)","2018-03-13",1.38
"501 Route 1 (NEW)","2018-03-14",8.74
"502 Route 2 (NEW)","2018-03-15",11.48
"504 Route 4 (NEW )","2018-03-26",2.7
"503 Route 3 (NEW)","2018-03-27",13.82
"501 Route 1 (NEW)","2018-03-28",5.86
"504 Route 4 (NEW )","2018-04-03",22.58
"501 Route 1 (NEW)","2018-04-05",17.18
"189 Missed Bins","2018-04-06",8.68
"189 Missed Bins","2018-04-15",0.84
"189 Missed Bins","2018-04-18",11.66
"503 Route 3 (NEW)","2018-04-18",11.56
"506 Route 6 (NEW)","2018-04-20",3.82
"501 Route 1 (NEW)","2018-04-21",19.26
"501 Route 1 (NEW)","2018-04-22",8.5
"505 Route 5 (NEW)","2018-04-23",15.3
"501 Route 1 (NEW)","2018-05-01",23.18
"502 Route 2 (NEW)","2018-05-02",23.96
"505 Route 5 (NEW)","2018-05-02",5.22
"503 Route 3 (NEW)","2018-05-05",9.0
"504 Route 4 (NEW )","2018-05-06",8.24
"189 Missed Bins","2018-05-12",9.44
"504 Route 4 (NEW )","2018-05-14",14.38
"189 Missed Bins","2018-05-18",13.46
"506 Route 6 (NEW)","2018-05-20",2.34
"505 Route 5 (NEW)","2018-05-28",5.42
"189 Missed Bins","2018-05-30",9.32
"502 Route 2 (NEW)","2018-05-31",25.82
"189 Missed Bins","2018-06-03",7.66
"602 Route 2A (NEW)","2018-03-29",8.56
"604 Route 4A (NEW)","2018-04-09",5.4
"601 Route 1A (NEW)","2018-04-11",10.0
"604 Route 4A (NEW)","2018-04-13",6.12
"606 Route 6A  (NEW)","2018-04-13",2.0
"606 Route 6A  (NEW)","2018-04-15",1.18
"604 Route 4A (NEW)","2018-05-09",11.62
"607 Route 7A (NEW)","2018-05-12",0.86
"602 Route 2A (NEW)","2018-06-08",3.62
"604 Route 4A (NEW)","2018-06-09",5.7
"601 Route 1A (NEW)","2018-04-02",1.84
"604 Route 4A (NEW)","2018-04-02",1.42
"601 Route 1A (NEW)","2018-04-16",1.98
"191 Rt 2","2018-04-18",1.6
"606 Route 6A  (NEW)","2018-04-19",0.36
"601 Route 1A (NEW)","2018-05-28",2.02
"603 Route 3A (NEW)","2018-06-01",3.7
"603 Route 3A (NEW)","2018-04-25",13.72
"602 Route 2A (NEW)","2018-04-27",6.32
"603 Route 3A (NEW)","2018-05-21",5.26
"506 Route 6 (NEW)","2018-04-27",3.66
"506 Route 6 (NEW)","2018-05-08",7.36
"504 Route 4 (NEW )","2018-05-09",19.38
"503 Route 3 (NEW)","2018-05-21",10.06
"504 Route 4 (NEW )","2018-06-06",23.6
"501 Route 1 (NEW)","2018-06-08",20.38
"506 Route 6 (NEW)","2018-06-12",3.72
"502 Route 2 (NEW)","2018-06-27",16.48
"504 Route 4 (NEW )","2018-07-11",15.66
"507 Route 7 (NEW )","2018-07-14",1.18
"189 Missed Bins","2018-07-25",8.58
"189 Missed Bins","2018-07-28",2.02
"505 Route 5 (NEW)","2018-08-22",5.62
"506 Route 6 (NEW)","2018-08-24",3.62
"501 Route 1 (NEW)","2018-08-26",8.22
"606 Route 6A  (NEW)","2018-07-31",2.62
"601 Route 1A (NEW)","2018-08-04",6.34
"602 Route 2A (NEW)","2018-08-04",9.02
"603 Route 3A (NEW)","2018-06-28",2.86
"603 Route 3A (NEW)","2018-08-11",1.24
"603 Route 3A (NEW)","2018-08-12",1.32
"602 Route 2A (NEW)","2018-08-23",2.96
"607 Route 7A (NEW)","2018-08-25",0.32
"603 Route 3A (NEW)","2018-06-20",5.34
"604 Route 4A (NEW)","2018-06-22",5.06
"603 Route 3A (NEW)","2018-06-24",3.58
"606 Route 6A  (NEW)","2018-06-24",0.92
"506 Route 6 (NEW)","2018-07-31",2.1
"503 Route 3 (NEW)","2018-08-02",9.28
"506 Route 6 (NEW)","2018-09-04",3.5
"503 Route 3 (NEW)","2018-09-18",33.74
"189 Missed Bins","2018-09-20",17.56
"506 Route 6 (NEW)","2018-09-22",2.32
"505 Route 5 (NEW)","2018-10-01",3.44
"501 Route 1 (NEW)","2018-10-19",17.72
"505 Route 5 (NEW)","2018-10-19",14.28
"502 Route 2 (NEW)","2018-10-29",12.62
"505 Route 5 (NEW)","2018-10-29",10.58
"505 Route 5 (NEW)","2018-11-04",8.66
"189 Missed Bins","2018-11-07",2.04
"604 Route 4A (NEW)","2018-08-29",9.32
"604 Route 4A (NEW)","2018-09-30",6.76
"602 Route 2A (NEW)","2018-09-08",1.74
"605 Route 5A (NEW)","2018-09-15",3.0
"602 Route 2A (NEW)","2018-10-14",4.62
"506 Route 6 (NEW)","2018-08-28",5.78
"504 Route 4 (NEW )","2018-09-02",14.12
"502 Route 2 (NEW)","2018-09-12",14.42
"506 Route 6 (NEW)","2018-09-12",2.54
"504 Route 4 (NEW )","2018-09-24",18.58
"505 Route 5 (NEW)","2018-10-22",16.56
"502 Route 2 (NEW)","2018-10-23",16.58
"508 Route 8 (NEW)","2018-10-25",3.96
"502 Route 2 (NEW)","2018-10-26",7.96
"505 Route 5 (NEW)","2018-11-17",9.22
"189 Missed Bins","2018-11-21",2.52
"504 Route 4 (NEW )","2018-11-28",16.82
"502 Route 2 (NEW)","2018-12-28",18.16
"503 Route 3 (NEW)","2018-12-30",24.5
"504 Route 4 (NEW )","2018-10-30",17.28
"508 Route 8 (NEW)","2018-11-04",3.06
"605 Route 5A (NEW)","2018-08-31",5.56
"603 Route 3A (NEW)","2018-09-01",5.12
"601 Route 1A (NEW)","2018-09-24",6.94
"602 Route 2A (NEW)","2018-10-24",14.64
"601 Route 1A (NEW)","2018-10-26",6.06
"604 Route 4A (NEW)","2018-09-06",2.36
"604 Route 4A (NEW)","2018-09-21",2.24
"603 Route 3A (NEW)","2018-09-22",1.1
"605 Route 5A (NEW)","2018-09-23",1.26
"605 Route 5A (NEW)","2018-10-06",1.16
"602 Route 2A (NEW)","2018-10-07",1.16
"603 Route 3A (NEW)","2018-10-16",3.38
"602 Route 2A (NEW)","2018-11-03",2.16
"601 Route 1A (NEW)","2018-11-04",3.04
"602 Route 2A (NEW)","2018-09-10",6.66
"602 Route 2A (NEW)","2018-09-13",4.88
"603 Route 3A (NEW)","2018-09-15",3.54
"604 Route 4A (NEW)","2018-10-10",5.46
"609 Route 9A (NEW)","2018-10-13",0.86
"605 Route 5A (NEW)","2018-10-14",3.12
"636 Bring sites","2018-10-23",1.4
"601 Route 1A (NEW)","2018-11-11",3.36
"501 Route 1 (NEW)","2018-09-16",6.86
"502 Route 2 (NEW)","2018-09-29",14.04
"503 Route 3 (NEW)","2018-10-27",9.4
"501 Route 1 (NEW)","2018-11-16",21.92
"508 Route 8 (NEW)","2018-11-18",1.52
"503 Route 3 (NEW)","2018-11-26",14.64
"502 Route 2 (NEW)","2018-12-11",13.84
"503 Route 3 (NEW)","2018-12-11",20.04
"508 Route 8 (NEW)","2018-12-11",2.68
"502 Route 2 (NEW)","2018-12-12",15.84
"505 Route 5 (NEW)","2019-01-21",8.26
"602 Route 2A (NEW)","2018-12-18",16.76
"603 Route 3A (NEW)","2018-12-23",5.58
"605 Route 5A (NEW)","2019-01-19",4.88
"609 Route 9A (NEW)","2018-11-17",0.36
"605 Route 5A (NEW)","2018-12-15",1.3
"604 Route 4A (NEW)","2019-01-12",2.84
"189 Missed Bins","2019-01-05",1.16
"503 Route 3 (NEW)","2018-12-05",9.9
"502 Route 2 (NEW)","2019-01-03",5.96
"508 Route 8 (NEW)","2019-01-18",1.64
"501 Route 1 (NEW)","2019-02-02",2.1
"505 Route 5 (NEW)","2019-02-04",8.94
"509 Route 9 (NEW)","2019-02-13",3.6
"508 Route 8 (NEW)","2019-03-06",7.14
"508 Route 8 (NEW)","2019-03-07",5.52
"505 Route 5 (NEW)","2019-03-24",11.1
"508 Route 8 (NEW)","2019-04-01",6.28
"503 Route 3 (NEW)","2019-04-02",18.2
"509 Route 9 (NEW)","2019-04-22",0.54
"608 Route 8A (NEW)","2019-02-11",3.14
"608 Route 8A (NEW)","2019-03-16",0.76
"608 Route 8A (NEW)","2019-03-19",2.54
"603 Route 3A (NEW)","2019-02-18",1.9
"603 Route 3A (NEW)","2019-03-19",3.08
"601 Route 1A (NEW)","2019-04-19",2.26
"604 Route 4A (NEW)","2019-02-03",4.58
"605 Route 5A (NEW)","2019-03-01",4.5
"604 Route 4A (NEW)","2019-03-31",5.06
"504 Route 4 (NEW )","2019-02-12",5.64
"503 Route 3 (NEW)","2019-02-13",8.06
"504 Route 4 (NEW )","2019-02-14",5.08
"502 Route 2 (NEW)","2019-02-15",3.78
"501 Route 1 (NEW)","2019-02-26",10.32
"502 Route 2 (NEW)","2019-03-25",10.98
"502 Route 2 (NEW)","2019-03-26",10.62
"508 Route 8 (NEW)","2019-04-08",4.78
"505 Route 5 (NEW)","2019-05-19",16.54
"501 Route 1 (NEW)","2019-06-26",22.88
"605 Route 5A (NEW)","2019-07-05",6.4
"602 Route 2A (NEW)","2019-04-29",2.6
"602 Route 2A (NEW)","2019-05-28",2.66
"608 Route 8A (NEW)","2019-06-14",0.62
"604 Route 4A (NEW)","2019-06-25",2.48
"604 Route 4A (NEW)","2019-06-27",2.68
"609 Route 9A (NEW)","2019-04-28",1.36
"604 Route 4A (NEW)","2019-06-20",5.1
"602 Route 2A (NEW)","2019-06-21",5.1
"636 Bring sites","2019-07-08",3.1
"501 Route 1 (NEW)","2019-05-07",14.94
"505 Route 5 (NEW)","2019-05-26",13.2
"503 Route 3 (NEW)","2019-06-04",16.22
"508 Route 8 (NEW)","2019-06-19",3.3
"501 Route 1 (NEW)","2019-06-22",6.98
"501 Route 1 (NEW)","2019-07-03",17.24
"504 Route 4 (NEW )","2019-07-03",18.84
"508 Route 8 (NEW)","2019-07-04",8.14
"189 Missed Bins","2019-08-12",2.74
"504 Route 4 (NEW )","2019-08-24",9.46
"504 Route 4 (NEW )","2019-09-04",17.94
"502 Route 2 (NEW)","2019-09-06",27.26
"502 Route 2 (NEW)","2019-09-18",23.64
