qid,P1082,qal585,qal459,S854,#
Q202177,115410,+2010-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Angus council area's 2010 population"""
Q207257,98340,+2009-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Lothian council area's 2009 population"""
Q208279,235830,+2019-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Highland council area's 2019 population"""
Q208279,209760,+2002-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Highland council area's 2002 population"""
Q206926,135790,+2017-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set North Ayrshire council area's 2017 population"""
Q217838,91520,+2014-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Stirling council area's 2014 population"""
Q47134,22210,+2006-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Shetland Islands council area's 2006 population"""
Q207257,99920,+2011-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Lothian council area's 2011 population"""
Q211091,174230,+2014-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Renfrewshire council area's 2014 population"""
Q208121,88930,+2019-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set West Dunbartonshire council area's 2019 population"""
Q216802,146800,+2003-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Falkirk council area's 2003 population"""
