qid,P1082,qal585,qal459,S854,#
Q204940,173040,+2009-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set West Lothian council area's 2009 population"""
Q211113,106950,+2001-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Scottish Borders council area's 2001 population"""
Q211113,114530,+2016-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Scottish Borders council area's 2016 population"""
Q211106,95510,+2015-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Moray council area's 2015 population"""
Q216802,158460,+2015-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Falkirk council area's 2015 population"""
Q208121,89800,+2013-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set West Dunbartonshire council area's 2013 population"""
Q209131,112610,+2008-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set South Ayrshire council area's 2008 population"""
Q209142,314810,+2013-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set South Lanarkshire council area's 2013 population"""
Q204940,178550,+2015-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set West Lothian council area's 2015 population"""
Q208271,79500,+2015-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Inverclyde council area's 2015 population"""
Q202174,91300,+2001-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Argyll and Bute council area's 2001 population"""
Q207268,48680,+2004-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Clackmannanshire council area's 2004 population"""
Q55934339,569250,+2005-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Glasgow City council area's 2005 population"""
Q211091,172300,+2002-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Renfrewshire council area's 2002 population"""
Q207257,104840,+2017-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Lothian council area's 2017 population"""
Q2357511,148270,+2016-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Dundee City council area's 2016 population"""
Q207111,338000,+2014-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set North Lanarkshire council area's 2014 population"""
Q208121,91530,+2005-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set West Dunbartonshire council area's 2005 population"""
Q216802,145920,+2002-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Falkirk council area's 2002 population"""
Q216802,155130,+2010-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Falkirk council area's 2010 population"""
Q208279,232890,+2012-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Highland council area's 2012 population"""
Q55934339,593060,+2011-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Glasgow City council area's 2011 population"""
Q2357511,146060,+2010-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Dundee City council area's 2010 population"""
Q202177,116200,+2019-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Angus council area's 2019 population"""
Q211106,93470,+2011-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Moray council area's 2011 population"""
Q211889,104940,+2008-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Dunbartonshire council area's 2008 population"""
Q209142,312180,+2009-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set South Lanarkshire council area's 2009 population"""
Q2357511,144290,+2008-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Dundee City council area's 2008 population"""
Q80967,26720,+2019-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Outer Hebrides council area's 2019 population"""
Q80967,26450,+2001-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Outer Hebrides council area's 2001 population"""
Q207679,144370,+2009-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Perth and Kinross council area's 2009 population"""
Q62274582,210680,+2002-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Aberdeen City council area's 2002 population"""
Q208271,79890,+2014-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Inverclyde council area's 2014 population"""
Q62274582,219730,+2010-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Aberdeen City council area's 2010 population"""
Q55934339,596520,+2013-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Glasgow City council area's 2013 population"""
Q207268,51450,+2017-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Clackmannanshire council area's 2017 population"""
Q211889,105590,+2006-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Dunbartonshire council area's 2006 population"""
Q126514,150370,+2007-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Dumfries and Galloway council area's 2007 population"""
Q204940,183100,+2019-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set West Lothian council area's 2019 population"""
Q100166,21670,+2015-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Orkney Islands council area's 2015 population"""
Q206926,137800,+2010-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set North Ayrshire council area's 2010 population"""
Q206934,87390,+2015-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Midlothian council area's 2015 population"""
Q201149,349770,+2001-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Fife council area's 2001 population"""
Q211889,107000,+2003-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Dunbartonshire council area's 2003 population"""
Q189912,257770,+2013-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Aberdeenshire council area's 2013 population"""
Q202174,86910,+2012-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Argyll and Bute council area's 2012 population"""
Q211889,104920,+2010-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Dunbartonshire council area's 2010 population"""
Q202177,114830,+2009-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Angus council area's 2009 population"""
Q100166,21220,+2010-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Orkney Islands council area's 2010 population"""
Q207257,97480,+2008-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Lothian council area's 2008 population"""
Q211925,89410,+2001-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Renfrewshire council area's 2001 population"""
Q204940,176010,+2012-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set West Lothian council area's 2012 population"""
Q207111,341370,+2019-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set North Lanarkshire council area's 2019 population"""
Q47134,22480,+2008-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Shetland Islands council area's 2008 population"""
Q189912,234690,+2004-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Aberdeenshire council area's 2004 population"""
Q209142,317100,+2016-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set South Lanarkshire council area's 2016 population"""
Q189912,244390,+2007-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Aberdeenshire council area's 2007 population"""
Q207679,136900,+2004-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Perth and Kinross council area's 2004 population"""
Q208279,214560,+2004-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Highland council area's 2004 population"""
Q47134,22000,+2002-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Shetland Islands council area's 2002 population"""
Q206934,80880,+2002-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Midlothian council area's 2002 population"""
Q208279,228750,+2009-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Highland council area's 2009 population"""
Q2357511,143600,+2005-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Dundee City council area's 2005 population"""
Q211113,107530,+2002-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Scottish Borders council area's 2002 population"""
Q2379199,498810,+2015-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set City of Edinburgh council area's 2015 population"""
Q206926,135890,+2002-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set North Ayrshire council area's 2002 population"""
Q211091,175930,+2016-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Renfrewshire council area's 2016 population"""
Q208271,78760,+2017-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Inverclyde council area's 2017 population"""
Q189912,241180,+2006-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Aberdeenshire council area's 2006 population"""
Q208121,91190,+2008-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set West Dunbartonshire council area's 2008 population"""
Q207268,48070,+2001-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Clackmannanshire council area's 2001 population"""
Q2379199,456040,+2007-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set City of Edinburgh council area's 2007 population"""
Q204940,161690,+2003-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set West Lothian council area's 2003 population"""
Q126514,149200,+2017-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Dumfries and Galloway council area's 2017 population"""
Q209135,122200,+2016-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Ayrshire council area's 2016 population"""
Q209131,112610,+2019-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set South Ayrshire council area's 2019 population"""
Q216802,159380,+2016-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Falkirk council area's 2016 population"""
Q207268,51190,+2008-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Clackmannanshire council area's 2008 population"""
Q202174,89910,+2008-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Argyll and Bute council area's 2008 population"""
Q207111,331160,+2007-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set North Lanarkshire council area's 2007 population"""
Q217838,88540,+2008-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Stirling council area's 2008 population"""
Q55934339,581620,+2009-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Glasgow City council area's 2009 population"""
Q55934339,586500,+2010-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Glasgow City council area's 2010 population"""
Q206934,83450,+2011-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Midlothian council area's 2011 population"""
Q207257,102090,+2014-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Lothian council area's 2014 population"""
Q80967,26900,+2016-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Outer Hebrides council area's 2016 population"""
Q80967,27420,+2009-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Outer Hebrides council area's 2009 population"""
Q209131,112030,+2005-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set South Ayrshire council area's 2005 population"""
Q62274582,217020,+2009-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Aberdeen City council area's 2009 population"""
Q55934339,578710,+2001-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Glasgow City council area's 2001 population"""
Q207257,101390,+2013-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Lothian council area's 2013 population"""
Q208279,211640,+2003-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Highland council area's 2003 population"""
Q209135,122010,+2019-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Ayrshire council area's 2019 population"""
Q207257,95570,+2007-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Lothian council area's 2007 population"""
Q209131,112380,+2007-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set South Ayrshire council area's 2007 population"""
Q100166,19540,+2003-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Orkney Islands council area's 2003 population"""
Q201149,366210,+2012-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Fife council area's 2012 population"""
Q208271,82680,+2005-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Inverclyde council area's 2005 population"""
Q55934339,569560,+2004-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Glasgow City council area's 2004 population"""
Q207111,322520,+2002-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set North Lanarkshire council area's 2002 population"""
Q216802,154210,+2009-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Falkirk council area's 2009 population"""
Q2379199,449020,+2001-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set City of Edinburgh council area's 2001 population"""
Q216802,160890,+2019-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Falkirk council area's 2019 population"""
Q211889,105840,+2013-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Dunbartonshire council area's 2013 population"""
Q47134,21950,+2003-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Shetland Islands council area's 2003 population"""
Q2357511,148130,+2014-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Dundee City council area's 2014 population"""
Q202174,85870,+2019-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Argyll and Bute council area's 2019 population"""
Q209142,303480,+2003-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set South Lanarkshire council area's 2003 population"""
Q209135,122110,+2009-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Ayrshire council area's 2009 population"""
Q207257,93850,+2006-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Lothian council area's 2006 population"""
Q217838,89550,+2010-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Stirling council area's 2010 population"""
Q209135,120210,+2004-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set East Ayrshire council area's 2004 population"""
Q80967,27250,+2014-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Outer Hebrides council area's 2014 population"""
Q207268,50600,+2007-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Clackmannanshire council area's 2007 population"""
Q208121,89590,+2015-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set West Dunbartonshire council area's 2015 population"""
Q202177,112500,+2006-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Angus council area's 2006 population"""
Q201149,355460,+2005-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Fife council area's 2005 population"""
Q206926,137910,+2008-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set North Ayrshire council area's 2008 population"""
Q208271,79160,+2016-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Inverclyde council area's 2016 population"""
Q209142,313900,+2011-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set South Lanarkshire council area's 2011 population"""
Q208279,233080,+2014-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Highland council area's 2014 population"""
Q47134,23220,+2014-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Shetland Islands council area's 2014 population"""
Q208279,234770,+2016-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Highland council area's 2016 population"""
Q2357511,143700,+2007-00-00T00:00:00Z/9,Q791801,"""http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries""","""Set Dundee City council area's 2007 population"""
