Local Authority	Waste type	Generated	Generated	Generated	Generated	Generated	Generated	Generated	Generated	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled
City of Edinburgh	Chemical wastes	4.87	22.8	48.16	19.67		185.93	248.37		0	0							4.87	22.8	48.16	19.67		185.93	248.37		0	0							0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Combustion wastes	0	0		0	0	0	0	0	0	0							0	0							0	0							0	0							0	0							0	0		886.22	2181.02	524.77	768.83	3211.75	0	0							0	0						211.34
City of Edinburgh	Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)	2059.9	1807.51	1792.74	1719.93	1773.23	2183.83	1978.87	1738.24	0	23.35	34.48	37.72	37.35	32.86	8.6		2059.9	1784.39	1758.48	1682.21	1735.88	2150.97	1970.27	1738.24	0	0							0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Discarded vehicles	25.7	23.41	55.1	29.95	32.39	27.5	22.91	24.75	25.7	23.41	30.28	29.95	32.39	27.5	22.91	24.75	0	0	24.82						0	0							0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Glass wastes	7580.38	9583.07	10361.05	10378.03	10976.27	11318	10299.86	10460.38	0	0							7580.38	9583.07	10361.05	10378.03	10976.27	11318	10299.86	10460.38	0	0							0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Health care and biological wastes	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Household and similar wastes	131994.63	120897.48	116092.76	114731.38	110424.64	107332.23	114098.77	112066.47	526.12	570.74	479.35	421.35	403.31	424.81	361.78	282.82	498.8	609.15	756.19	891.36	810.89	270.08	0		0	0							0	0				2623.81	4.25		29.28	0							0	0				2	18.91	0	0	0		4652.69	11450.38	275.03	4413.76	8946.19	130590.32	118820.37	114114.76	107879.76	95579.04	103211.73	113236.67	100489.93
City of Edinburgh	Metallic wastes, ferrous	410.84	451.53	569.56	846.01	801.18	159.7	1.85	0	0	0							411.13	548.93	752.01	954.53	1019.94	888.3	808.53	432.78	0	0							0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Metallic wastes, mixed ferrous and non-ferrous	1002.92	1109.82	1223.53	1300.6	1406.12	1883.26	1602.58	1328.24	0	0							1055.73	1190.97	1308.01	1300.6	1406.12	1883.26	1605.93	1407.4	0	0							0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Metallic wastes, non-ferrous	102.71	112.87	141.23	205.56	329.91	21.28	0	0	0	0							102.73	137.22	186.84	232.7	384.6	293.37	391.06	321.1	0	0							0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Mineral waste from construction and demolition	2716.26	4959.18	3391.06	4021.32	3924.77	3492	2930.2	3051.09	0	0							2876.42	5461.44	3783.32	4021.32	3924.77	3492	2937.73	3055.49	0	0							0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Mixed and undifferentiated materials	250.57	2194.85	2850.66	1695.66	3583.56	20931.73	25522.02	24562.55	0	0							250.57	678.48							0	0							0	0							0	0							0	0				0.01	0		0	0						5520.04	0	0	57.01	33.92	233.68	378.1		
City of Edinburgh	Paper and cardboard wastes	14266.16	13399.52	13700.77	14696.89	15336.71	2754.37	2603.31	2115.66	34.16	26.15	30.72	34.8	50.56	67.78	69.8	77.46	14233.16	14442.91	15670.68	15849.04	17678.92	18728.44	18741.57	15786.78	0	0							0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Plastic wastes	109.15	133.54	593.72	1600.65	1906.13	278.62	440.86	70.42	1.58	2.61	1.71	1.04	2.11	4.72	5.42	6.2	113.33	470.45	1163.46	1938.74	2587.68	3784.98	3830.22	3289.44	0	0							0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Rubber wastes	30.26	67.45	61.94	67.26	72.15	93.48	107.54	106.02	0	0							30.26	67.45	61.94	67.26	72.15	93.48	107.54	106.02	0	0							0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Soils	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Textile wastes	621.82	584.06	1191.69	726.77	815.07	462.48	407.37	398.81	0	0	369.72	694.77	697.81	462.48	407.37	398.81	585.85	557.5	843.92	32	117.26			152.22	0	0							0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Used oils	3.98	11.98	11.51	11.59	10.33				0	0							3.98	11.98	11.51	11.59	10.33				0	0							0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Vegetal wastes	23318.43	23542.75	21752.31	25906.53	24528.54	26467.13	24603.5	21904.95	0	0							0	0			1177.49				23321.76	23559.84	21764.1	25906.53	23351.06	26467.13	24603.5	21904.95	0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Wood wastes	4586.67	5056.22	5551.1	5929.81	5727.88	6403.92	6401.02	6147.95	0	0							4749.28	5364.8	5776.37	5929.81	5727.88	6403.92	6406.15	6151.44	0	0							0	0							0	0							0	0							0	0							0	0						
City of Edinburgh	Subtotal	189697.03	187716	184360.38	189525.21	189573.74	193332.72	200719.85	193341.11	587.56	646.26	946.26	1219.63	1223.53	1020.15	875.88	790.04	34571	40946.42	42517.42	43325.09	47639.84	49497.84	47349.88	42927.14	23918.91	27302.92	26724.93	25906.53	31266.26	35799.28	34051.67	31244.68	0	0				2623.81	4.25		29.28	0							0	0		6507.59	2181.02	526.78	787.74	3211.75	0	0		4652.69	11450.38	275.03	4413.76	14466.23	130590.32	118820.37	114171.77	107913.68	95812.72	103589.83	113236.67	100701.27
Clackmannanshire	Animal and mixed food waste	0	0	1188	1350	1344	1613.83	1641.89	1509.08	0	0							0	0							0	0	1128.6	1282.5	1276.9	1533.14	1559.8	1438	0	0							0	0							0	0							0	0							0	0	59.4	67.5	67.1	80.69	82.09	71.08
Clackmannanshire	Batteries and accumulators wastes	6	3	6.46	12.45	18.4	13.09	11.05	4.65	0	0							6	3	6.46	12.45	18.4	13.09	11.05	4.65	0	0							0	0							0	0							0	0							0	0							0	0						
Clackmannanshire	Chemical wastes	1	3	2.26	3.3	1.74	2	4.41	2.24	1	3	2.26	3.3	1.74	2	4.41	2.24	0	0							0	0							0	0							0	0							0	0							0	0							0	0						
Clackmannanshire	Combustion wastes	0	0	0	0	0	0		0	0	0							0	0							0	0							0	0							0	0							0	0	693.6	1	3	1.1	0.89	88.59	0	0							0	0		269.9	98.82	523	298.84	
Clackmannanshire	Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)	572.72	512.48	532.96	514.6	528.04	584.73	546.74	499.18	0	0							572.72	512.48	532.96	514.6	528.04	584.73	546.74	499.18	0	0							0	0							0	0							0	0							0	0							0	0						
Clackmannanshire	Discarded vehicles	14	17	18.5	17.4	29.9	18	17.16	15.66	14	17	18.5	17.4	29.9	18	17.16	15.66	0	0							0	0							0	0							0	0							0	0							0	0							0	0						
Clackmannanshire	Glass wastes	1540.3	1362	1378.1	1334.8	1346	1385	1396.02	1367.54	0	0							1540.3	1362	1378.1	1334.8	1519.68	1385	1396.02	1367.54	0	0							0	0							0	0							0	0							0	0							0	0						
Clackmannanshire	Health care and biological wastes	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0						
Clackmannanshire	Household and similar wastes	18534	14284.74	11245.4	11463.7	11496	10598.15	11072.52	11277.02	0	7.5	0	0					15	0	0	0	0		0	0	0	0	0	0					0	0	661.39					395.84	0	0	0	4.5	12	20.85	16.96		0	0			0.01	0	0		367.85	1442.8		1079.4			2387.52		14318.59	9911.84	8536.31	9924.4	10436.28	6875.27	7386.85	10479.44
Clackmannanshire	Metallic wastes, ferrous	0	0	0	0	0	0	0	0	0	0							136.19	145.26	129.78	124.19	137.98	191.7	186.99	177.6	0	0							0	0							0	0							0	0							0	0							0	0						
Clackmannanshire	Metallic wastes, mixed ferrous and non-ferrous	397	405.2	427	391.8	443	463	456.84	382.65	0	0							434.27	727.55	664.02	398.1	475.93	588.19	575.68	430.86	0	0							0	0							0	0							0	0							0	0							0	0						
Clackmannanshire	Metallic wastes, non-ferrous	0	0	0	0	0	0	0	0	0	0							27.62	29.48	27.32	26.1	43.42	27.39	27.27	53.84	0	0							0	0							0	0							0	0							0	0							0	0						
Clackmannanshire	Mineral waste from construction and demolition	1858	1418	1411	582.2	777	1467	2733.24	799.66	0	0		1.1	1				1858	1698.92	1423.8	585.8	811	1510.68	2733.24	799.66	0	0							0	0							0	0							0	0							0	0							0	0						
Clackmannanshire	Mixed and undifferentiated materials	0	1933	3868.16	3784.1	3985	4009	3895.65	3532.07	0	0							0	69.79							0	0							0	0	399.8			329.28	461.55		0	0							0	0	0		0				0	0	0		717.66	2630.47			0	0	367.87	429.25	672.53	377.52	370.09	373.68
Clackmannanshire	Paper and cardboard wastes	222	291	196	114.5	0	163.44	124.04	198.06	0	0							3380.54	3378.21	3337.42	3043.69	2567.08	3216.57	3108.29	2597.61	0	0							0	0							0	0							0	0							0	0							0	0						
Clackmannanshire	Plastic wastes	13	0	0	0	0	0	0	0	0	0							362.41	694.36	437.44	283.47	467.61	513.26	502.34	629.45	0	0							0	0							0	0							0	0							0	0							0	0						
Clackmannanshire	Rubber wastes	32	16.37				0	0	8.96	0	0							32	16.37							0	0							0	0							0	0						5.38	0	0						1.79	0	0							0	0						
Clackmannanshire	Soils	1001	1033	700	896	486	978	0	1186.13	0	0		79.8	12				1024	1077.62	741.4	896	500	995.64	83.01	1186.13	0	0							0	0							0	0							0	0							0	0							0	0						
Clackmannanshire	Textile wastes	349	320	372.5	343.2	143	299	157.25	17.5	0	0							349	324.51	380.31	349.5	143	299	157.25	17.5	0	0							0	0							0	0							0	0							0	0							0	0						
Clackmannanshire	Used oils	7	5.4	1.39	5.8	8	6.7	4.84	5.12	0	0							7	5.4	1.39	5.8	8	6.7	4.84	5.12	0	0							0	0							0	0							0	0							0	0							0	0						
Clackmannanshire	Vegetal wastes	4339	4209.24	3749	4220	4209	4239	3464.59	3665.84	0	0							0	0							4319.84	4153.48	3718.5	4173.74	4159	4208.08	3464.59	3665.84	0	0							0	0							0	0							0	0							0	32.76	30.5	46.26	50	30.92		
Clackmannanshire	Wood wastes	1712	1923	1720	1751.7	1806	1251	1674.55	1650.32	0	0							1831.61	2121.92	2115.57	1796.9	91	212.68	1817.33	1815	0	0							0	0							0	0							0	0							0	0			1700	916			0	0	24.03	35	72			
Clackmannanshire	Subtotal	30598.02	27736.43	26816.73	26785.55	26621.08	27090.94	27200.79	26121.68	15	27.5	20.76	101.6	44.64	20	21.57	17.9	11576.66	12166.87	11175.97	9371.4	7311.14	9544.63	11150.05	9584.14	4319.84	4153.48	4847.1	5456.24	5435.9	5741.22	5024.39	5103.84	0	0	1061.19			329.28	461.55	395.84	0	0	0	4.5	12	20.85	16.96	5.38	0	0	693.6	1	3.01	1.1	0.89	90.38	367.85	1442.8	0	1079.4	2417.66	3546.47	2387.52		14318.59	9944.6	9018.11	10772.31	11396.73	7887.4	8137.87	10924.2
Dumfries and Galloway	Animal and mixed food waste	0	0		404.08	897.4	752.56	672.5	618.78	0	0							0	0							0	0		404.08	872.1	752.56	672.5	618.78	0	0							0	0							0	0			25.3				0	0							0	0						
Dumfries and Galloway	Batteries and accumulators wastes	39.27	38.57	34.27	30.81	37.25	48.03	42.91	45.67	0	0							39.27	38.57	34.27	30.81	37.25	48.03	42.91	45.67	0	0							0	0							0	0							0	0							0	0							0	0						
Dumfries and Galloway	Chemical wastes	6.27	10.21	13.84	12.54	14.42	14.29	11.95	12.36	6.27	0							0	10.21	13.84	12.54	14.42	14.29	11.95	12.36	0	0							0	0							0	0							0	0							0	0							0	0						
Dumfries and Galloway	Combustion wastes	0	0	0	0	0	0	0	0	0	0							0	0							0	0							0	0							0	0		1521.71					2271.01	4778.1	2792.63	3026.54	2772.26	1438.98			0	0							0	88.28	0	639.69	2.39	349.65	742.45	522.13
Dumfries and Galloway	Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)	1038.5	1001.97	906.77	1571.35	1378.05	1504.1	1407.62	1338.59	0	0							1038.5	1001.97	906.77	1571.35	1378.05	1504.1	1407.62	1338.59	0	0							0	0							0	0							0	0							0	0							0	0						
Dumfries and Galloway	Discarded vehicles	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0						
Dumfries and Galloway	Glass wastes	1485.85	1211.46	1047.71	1017.37	1308.13	1415.38	1466.71	1476.28	0	0							1485.85	1211.46	1047.71	1017.37	1308.13	1415.38	1466.71	1476.28	0	0							0	0							0	0							0	0							0	0							0	0						
Dumfries and Galloway	Health care and biological wastes	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0						
Dumfries and Galloway	Household and similar wastes	67649.97	63513.45	61465.87	61368.99	57884.74	61717.94	60176.56	60866.73	0	0							0	0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	784.63	1737.03	0	0			8046.91	7334.25	6410.3	7426.17	11349.35	5755.94			18880.77	16108.45	14681.29	16707.9	14737.9	16030.69	14494.34	16050.33	0	6487.09	55.05	2548.18	0	1396.74	2968.24	1697.94	34886.3	23554.69	30741.73	23967.25	20232.96	31455.16	30824.37	34390.39
Dumfries and Galloway	Metallic wastes, ferrous	0	0			47	68.28	24.36	0	0	0							0	0			47	68.62	38.59	27.8	0	0							0	0							0	0							0	0							0	0							0	0						
Dumfries and Galloway	Metallic wastes, mixed ferrous and non-ferrous	1359.44	1108.84	1117.26	1297.83	1207.07	1582.65	1535.24	1584.69	0	0							2902.89	2876.71	3080.87	2678.51	2693.26	2767.85	2793.22	2741.24	0	0							0	0							0	0							0	0							0	0							0	0		1.22	1.08	1.06	0.93	
Dumfries and Galloway	Metallic wastes, non-ferrous	0	0			14.56	31.28	25.78	0	0	0							0	0			14.56	31.42	31.71	11.28	0	0							0	0							0	0							0	0							0	0							0	0						
Dumfries and Galloway	Mineral waste from construction and demolition	3757.04	3897.28	4017.89	3854.3	3270.4	3892.39	3557.19	3603.25	0	0							4697.95	4733.36	4818.08	4077.85	3340.23	4296.98	5254.82	5540.58	0	0							0	0							0	0							0	0							0	0							0	0	98.06	86.55	53.25	69.66	74.19	
Dumfries and Galloway	Mixed and undifferentiated materials	136.26	1931.17	2160.84	2741.17	2689.64	112.29	2243.26	4765.85	0	0							136.26	7.3		42.36	106.86	109.04			0	0							0	0							0	0							0	0	0.01	21.22	0.03			0.01	0	0							0	0		1040.7	1393.47	3.25	8.3	70.14
Dumfries and Galloway	Paper and cardboard wastes	731.9	748	763.84	1105.32	1742.64	1596.4	1618.04	825.8	0.66	0							731.24	748	739.1	1431.51	1718.27	1571.46	1589.51	1571.92	0	0							0	0							0	0							0	0							0	0							0	0	24.75	28.28	24.38	26.6	28.53	
Dumfries and Galloway	Plastic wastes	30.62	30.81	28.9	77.51	169.16	176.36	131.36	0	0	0							935.1	549.85	1059.92	601.12	383.8	176.51	221.02	227.82	0	0							0	0							0	0							0	0							0	0							0	0	1.14	2.15	1.8	2.01	2.06	
Dumfries and Galloway	Rubber wastes	102.34	39.81	51.46	45.49	44.23	68.19	46.14	71.67	0	0							102.34	39.81	51.46	45.49	44.23	68.19	46.14	71.67	0	0							0	0							0	0							0	0							0	0							0	0						
Dumfries and Galloway	Soils	0	0					0	0	0	0							0	0					4051.3	2691.32	0	0							0	0							0	0							0	0							0	0							0	0						
Dumfries and Galloway	Textile wastes	160.39	112.81	138.28	128.13	48.5	152.37	117.67	143.31	0	0							160.39	112.81	138.28	128.13	48.5	152.37	117.67	143.31	0	0							0	0							0	0							0	0							0	0							0	0						
Dumfries and Galloway	Used oils	22.74	24.16	23.02	24.66	21.9	10.14	16.85	17.86	0	0							22.74	24.16	23.02	24.66	21.9	10.14	16.85	17.86	0	0							0	0							0	0							0	0							0	0							0	0						
Dumfries and Galloway	Vegetal wastes	2722.08	3345.68	3225.25	2774.71	3193.25	3652.04	2754.33	3462.14	0	0							0	0			1134.67				2670.57	3278.83	3167.61	1527.85	1853.63	2157.26	1342.54	2615.66	0	0							0	0							0	0		1199.61	5554.8	5086.47	5462.97	4365.55	0	0							0	58.63	57.64	47.25	57.33	67.55	44.21	80.9
Dumfries and Galloway	Wood wastes	2377.41	694.87	505.68	0	123.96	3012.64	440.04	491.68	0	0							2510.58	2604.7	3001.14	2346.39	1898.01	2515.31	2140.22	2605.23	0	0							0	0							0	0							0	0	0			0.01			0	0	694	534.02	971.13	464.05	392.67	390.62	0	0						
Dumfries and Galloway	Subtotal	81620.08	77709.09	75500.88	76454.26	74092.3	79807.33	76288.51	79324.66	6.93	0							14763.11	13958.91	14914.46	14008.09	14189.14	14749.69	19230.24	18522.93	2670.57	3278.83	3167.61	1931.93	2725.73	2909.82	2015.04	3234.44	0	0	784.63	1737.03	0	0			8046.91	7334.25	6410.3	8947.88	11349.35	5755.94			21151.78	20886.55	17473.93	20955.27	23090.29	22556.15	19957.31	20415.89	0	6487.09	749.05	3082.2	971.13	1860.79	3360.91	2088.56	34886.3	23701.6	30923.32	25813.09	21766.66	31974.94	31725.04	35063.56
Dundee City	Animal and mixed food waste	43.7	115.08	90.12	92.13	632.58	973.38	1715.96	1694.91	0	0							0.8	0			1.87	1.32		0.51	42.9	115.08	90.12	92.13	630.71	972.06	1715.96	1694.4	0	0							0	0							0	0							0	0							0	0						
Dundee City	Batteries and accumulators wastes	9.65	4.46	1.82		5.33				0	0							9.65	4.46	1.82		5.33				0	0							0	0							0	0							0	0							0	0							0	0						
Dundee City	Chemical wastes	4.73	2.98	2.58	1.92	0			2.27	0	2.37	2.58	1.92	0			2.27	4.73	0.61							0	0							0	0							0	0							0	0							0	0							0	0						
Dundee City	Combustion wastes	0	0	0	0	0	0	0	0	0	0							0	0							0	0							0	0							0	0							5046.53	3506.91	2267.16	5861.23	6295.84	6693.28	7063.05	6072.21	0	0							5960.7	1440.15	1508.34	3940.44	4006.14	3702.89	3174.49	2881.15
Dundee City	Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)	770.13	704.55	704.92	836.79	845.52	690.17	762.7	692.73	0.5	0			5.58	0			769.63	704.55	704.92	836.79	839.94	690.17	762.7	707.64	0	0							0	0							0	0							0	0	0						0	0							0	0						
Dundee City	Discarded vehicles	0	0			5.76				0	0			5.76				0	0							0	0							0	0							0	0							0	0							0	0							0	0						
Dundee City	Glass wastes	2029.34	1384.03	1349.99	1256.9	1465.26	2011.26	2247.85	2345.64	0	0							2229.85	2032.03	2136.67	2161.44	2199.94	2400.25	3063.69	2404.26	0	0							0	0							0	0							0	0							0	0							0	0						
Dundee City	Health care and biological wastes	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0						
Dundee City	Household and similar wastes	49191.22	50692.16	42795.75	44780.57	46132.24	46289.39	41809.07	39473.58	88.62	0	0	0	14.33	0.88	0	0	0	0	0	0	0	0	0	242.55	0	0	0	0	0	0	0	0	0	0							0	0							0	0				0			31612.64	11146.2	13311.97	33192.85	33891.46	33806.1	29960.6	28111.28	2002.88	33214.99	25241.81	379.21	471.28	588.2	451.28	1363.6
Dundee City	Metallic wastes, ferrous	0	0.49	0	0	0	0	0	0	0	0							14.27	1.69	100.62	240.14	195.7	118.44	224.31	178.16	0	0							0	0							0	0							0	0							0	0							0	0						
Dundee City	Metallic wastes, mixed ferrous and non-ferrous	505.45	694.83	738.92	699.6	1176.98	1291.8	1051.88	428.52	0	0							968.89	1392.24	1205.39	2106.45	2630.17	2789.84	2327.31	1530.12	0	0							0	0							0	0							1604.17	0							0	0							0	0						
Dundee City	Metallic wastes, non-ferrous	17.3	0.28	6.35	0	0	0	0	0	0	0							28.91	38.75	52.37	61.69	17	27.84	34.33	98.63	0	0							0	0							0	0							0	0							0	0							0	0						
Dundee City	Mineral waste from construction and demolition	1768.6	369.8	1061.71	575.7	761.18	24.24		448.4	0	0							2176.95	399.5	1061.71	575.7	761.18	24.24		448.4	0	0							0	0							0	0							0	0							0	0							0	0						
Dundee City	Mixed and undifferentiated materials	0	684.78	1186.16	1405.2	2152.35	2784.97	3433.02	3641.12	0	0			2.29				0	0						700.38	0	0							0	0							0	0							0	0	0		0	0.03		0	0	0						231	0	0	44.9	74.35	144.53	347.26	391.22	94.89
Dundee City	Paper and cardboard wastes	4374.02	4143.84	4400.85	4435.65	3417.17	2939.19	2846.18	3528.83	15.56	15.69	5.66	8.25	5.65	0.62		4.21	4813.4	4366.2	4483.13	4427.4	4284.41	4672.68	4629.09	4481.84	0	0							0	0							0	0							0	0							0	0							0	0						
Dundee City	Plastic wastes	285.68	31.06	0	0	0.2	0	0	0	0	0			0.2				711.74	339.16	120	124.48	185.26	168.31	184.43	737.86	0	0							0	0							0	0							0	0							0	0							0	0						
Dundee City	Rubber wastes	0	0			46.58	51.16	11.3	0	0	0							0	0			46.58	51.16	11.3	9.15	0	0							0	0							0	0							0	0							0	0							0	0						
Dundee City	Soils	589.52	602.58	543.56	671.31	652.62	1046.52	873.46	465.1	0	340.28							1017.15	319.65	543.56	671.31	652.62	1046.52	873.46	465.1	0	0							0	0							0	0							0	0							0	0							0	0						
Dundee City	Textile wastes	162.56	237.57	105.89	73.51	68.26	69.91	64.22	96.6	68.09	137.2	82.76	57.33	53.32	54.54	50.08	75.37	88.45	100.37	23.13	16.18	14.94	15.37	14.14	24.61	0	0							0	0							0	0							0	0							0	0							0	0						
Dundee City	Used oils	6.41	7.24	7.95	7.59	13.59	5.47		4.54	0	0							6.41	7.24	7.95	7.59	13.59	5.47		4.54	0	0							0	0							0	0							0	0							0	0							0	0						
Dundee City	Vegetal wastes	7088.25	8238.75	6360.95	6790.16	7848.68	7784.42	8014.34	6539.36	0	0							0	0							7088.25	8238.75	6360.95	6790.16	7848.68	7784.42	8014.34	6539.36	0	0							0	0							0	0						258.14	0	0							0	0						
Dundee City	Wood wastes	1521.03	2188.39	2127.54	2110.62	1957.81	2036.48	1516.74	1411.31	0	0							1996.23	2237.87	2127.54	2110.62	1957.81	2036.48	939.29	1411.31	0	0							0	0							0	0							0	0							0	0					461.97		0	0						
Dundee City	Subtotal	68367.59	70102.87	61485.06	63737.65	67182.11	67998.36	64346.72	60772.91	172.77	495.54	91	67.5	87.13	56.04	50.08	81.85	14837.06	11944.32	12568.81	13339.79	13806.34	14048.09	13064.05	13445.06	7131.15	8353.83	6451.07	6882.29	8479.39	8756.48	9730.3	8233.76	0	0							0	0							6650.7	3506.91	2267.16	5861.23	6295.84	6693.31	7063.05	6330.35	31612.64	11146.2	13311.97	33192.85	33891.46	33806.1	30422.57	28342.28	7963.58	34655.14	26795.05	4394	4621.95	4638.35	4016.99	4339.64
East Ayrshire	Animal and mixed food waste	598.52	506.59	656.27	2495.64	3189.63	3150.48	3040.28	2876.55	0	0							41.43	30.29	44.07	25.89	26.12	29.46	3.62	2.35	557.1	476.3	612.2	2467.07	3163.51	3093.68	2987.72	2821.89	0	0							0	0							0	0							0	0							0	0		2.68	0	27.34	48.94	52.31
East Ayrshire	Batteries and accumulators wastes	14.8	14.1	12.26	5.5	15.02	17.11	11.83	5.22	0	0							14.8	14.1	12.26	5.5	14.86	17.11	11.83	5.22	0	0							0	0							0	0							0	0			0				0	0							0	0			0.16			
East Ayrshire	Chemical wastes	5.27	10.01	7.25	1.6	2.41	6.56	3.46	4.36	0	0							5.27	10.01	7.25	1.6	2.41	6.56	3.46	4.36	0	0							0	0							0	0							0	0							0	0							0	0						
East Ayrshire	Combustion wastes	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0		74.77	179.12	0		
East Ayrshire	Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)	1617.28	1190.95	825.32	525.31	691.98	861.13	812.74	701.61	0	28.92	32.02	1.58	16.67	146.52	228.71		1617.28	1162.03	793.3	523.73	638.26	699.08	584.03	701.61	0	0							0	0							0	0							0	0			0	0	0		0	0							0	0			49.28	15.53	0	
East Ayrshire	Discarded vehicles	29.86	20.22	6.2	16.4	21.22	10.66	27.4		7.46	8.26		3.76		10.66	27.4		22.4	11.96	6.2	12.64	21.22				0	0							0	0							0	0							0	0							0	0							0	0						
East Ayrshire	Glass wastes	2586.71	2213.86	2219.33	2266.7	2359.25	2533.27	2494.38	2785.12	0	0							2586.71	2213.86	2219.33	2266.7	2359.25	2533.27	2494.38	2785.12	0	0							0	0							0	0							0	0							0	0							0	0						
East Ayrshire	Health care and biological wastes	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0						
East Ayrshire	Household and similar wastes	37558.91	36148.37	32349.88	31371.86	28888.21	27839.38	28076.79	26072.25	24.67	35.76	30.74	21.64	14.32	12.71	23.98	53.37	23.66	0	0	0	0	0	0	0	0	0				0	0	0	0	0			611.65	0			0	0							0	0	1262.62	8305.9	6411	5458.2	5012.82	4800.56	0	0		307.7					32510.09	32684.45	28539.8	19299.1	19092.06	20357.56	20840.8	19739.78
East Ayrshire	Metallic wastes, ferrous	103.24	60.45	0		0	0	71.03	0	0	0							313.13	299.93	295.03		315.98	344.85	367.83	252.66	0	0							0	0							0	0							0	0							0	0							0	0						
East Ayrshire	Metallic wastes, mixed ferrous and non-ferrous	420.05	452.47	737.1	346.04	400.53	483.02	647.94	465.73	0	0							420.05	462.18	905.29	842.19	750.04	744.23	869.08	644.61	0	0							0	0							0	0							0	0							0	0							0	0						
East Ayrshire	Metallic wastes, non-ferrous	39.74	37.99	0		0	0	36.35	0	0	0							139.72	136.22	172.2		245.21	211.51	268.27	123.59	0	0							0	0							0	0							0	0							0	0							0	0						
East Ayrshire	Mineral waste from construction and demolition	711.22	2829.96		403.54					0	0							711.22	2829.96		497.08					0	0							0	0							0	0							0	0							0	0							0	0						
East Ayrshire	Mixed and undifferentiated materials	438.12	1497.36	6105.77	519.07	581.1	590.99	576.24	7382.37	0	0							372.59	0.55	306.11	741.01	386.71	339.43	496.09	413.25	0	0							0	0							0	0							0	0	0	0	0.45	0	0	0.05	0	0							0	0	24.46	29.55	19.46	34.63	47.52	851.69
East Ayrshire	Paper and cardboard wastes	1856.58	1350.79	10.02	5344.43	5631.65	5595.39	5298.36	3.94	0	0							6707.01	5928.29	5838.52	5496.74	5740.78	5638.03	5357.26	4774.58	0	0							0	0							0	0							0	0							0	0							0	0						
East Ayrshire	Plastic wastes	526.09	506.76	509.42	1186.44	1601.58	1923.46	1759.73	456.54	0	0							526.09	506.76	648.06	1716.02	1905.31	2011.92	1877.48	1862.59	0	0							0	0							0	0							0	0							0	0							0	0						
East Ayrshire	Rubber wastes	87.94	66.33	61.28	45.57	29.12	50.51	54.38	66.24	0	0							87.94	66.33	61.28	45.57	29.12	50.51	54.38	66.24	0	0							0	0							0	0							0	0							0	0							0	0						
East Ayrshire	Soils	2711.83	660.94	2991.54	1823.5	2748.84	2976.39	2854.04	1947.53	0	0							2711.83	660.94	3426.19	2083.23	3129.24	3252.01	3146.46	2110.08	0	0							0	0							0	0							0	0							0	0							0	0						
