Local Authority	Waste type	Generated	Generated	Generated	Generated	Generated	Generated	Generated	Generated	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled
Aberdeen City	Wood wastes	1314.44	1916.34	1930.17	2493.15	3334.57	3418.37	4045.96	0	0	0							1314.44	2114.32	2333.99	2688.43	3390.8	3426.03			0	0							0	0							0	0							0	0							0	0						2828.17	0	0						
Aberdeen City	Subtotal	97183.83	97230.31	94116.59	96129.75	95240.65	96122.58	87786.39	85539.75	0	0			9.93	13.65	3.65	3202.96	19833.09	21651.18	20486.56	20832.68	20859.97	20573.43	18970.89	19694.21	14828.81	14590.86	14469.48	15908.95	15808.93	16911.39	19593.47	17586	0	0			198.89	564.13	14051.6	23693.27	0	12.02	24.39	106.82	167.58	39.38	306.03		0	0			0	0	0	880.49	0	0	84.68	179.13	40.28		3236.77	2864.34	62521.93	60988.28	59051.49	59102.17	58155.07	58020.6	31623.97	17618.5
Aberdeenshire	Animal and mixed food waste	393.45	363.69	410.61	3614.16	7165.66	7191.23	6938.28	6812.84	0	0							9.19	10.27	11.57	16.13	27.09	22.5	11.33	11.48	384.27	353.43	399.04	3598.03	7138.57	7168.73	6926.95	6801.36	0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Batteries and accumulators wastes	44.01	36.71	35.09	35.29	57.14	62.49	66.07	64.36	0	0							44.01	36.71	35.09	35.29	57.14	62.49	66.07	64.36	0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Chemical wastes	38.56	29.41	23.99	33.64		20.28	48.23	68.62	0	0							38.56	29.41	23.99	33.64		20.28	48.23	68.62	0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Combustion wastes	0	0	0	0		0	0	0	0	0							0	0							0	0							0	0							0	0							0	0	33.99	35.62	34.4	53.46	141.65	2.23	0	0					369.36		0	0				218.11	244.73	418.35
Aberdeenshire	Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)	2853.97	2467.84	2492.95	2410.81	2323.76	2528.75	2419.76	2331.91	0	0							2853.97	2467.84	2492.95	2410.81	2323.76	2528.75	2419.76	2331.91	0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Discarded vehicles	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Glass wastes	7180.47	6748.32	6815.62	6008.25	5903.2	5753.72	5636.61	4724.91	0	0							7180.47	6748.32	6815.62	6008.25	5903.2	5753.72	5636.61	4724.91	0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Health care and biological wastes	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Household and similar wastes	98318.02	86818.98	84628.86	78891.98	73379.64	73040.35	70298.62	66748.04	0	0	37.88	41.81	32.12	1.63			0	0	0	0	0	5.27	22.84	23.78	0	0		0	0				0	0				331.63		628.56	0	0	135.98	141.6	137.67	205.2	169.2	184.32	0	0							0	0				319.89	977.71	1326.3	98318.02	86818.98	84421.01	78672.95	73175.46	72776.97	69676.55	65018.21
Aberdeenshire	Metallic wastes, ferrous	591.44	552.98	634.68	302.14	11.08			0	0	0							591.44	552.98	634.68	302.14	11.08			269.64	0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Metallic wastes, mixed ferrous and non-ferrous	1554.62	1471.9	1569.04	1634.39	1804.54	1897.99	2004.2	1895.1	0	0							1554.62	1471.9	1569.04	1634.39	1804.54	2339.92	2700.6	2068.24	0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Metallic wastes, non-ferrous	205.39	122.63	236.53	125.45	24.48			0	0	0							205.39	122.63	236.53	125.45	24.48			191.66	0	0							0	0							0	0							0	0							0	0							0	0						
